CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Year (2),Member ID: Year (2),Notes: Year (2),DIM: Age (9),Member ID: Age (9),Notes: Age (9),DIM: Sex (3),Member ID: Sex (3),Notes: Sex (3),DIM: Income sources and taxes (16),Member ID: Income sources and taxes (16),Notes: Income sources and taxes (16),Dim: Income statistics (5A): Member ID: [1]: Total - Population aged 15 years and over,Dim: Income statistics (5A): Member ID: [2]: With an amount,Dim: Income statistics (5A): Member ID: [3]: Percentage with an amount (%),Dim: Income statistics (5A): Member ID: [4]: Average amount ($) (Note: 19),Dim: Income statistics (5A): Member ID: [5]: Aggregate amount ($'000)
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Total income,1,3,515510,511195,99.2,62303,31848758
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Market income,2,4,515510,482960,93.7,64629,31213041
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Employment income,3,5,515510,461160,89.5,62945,29027381
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,"Wages, salaries and commissions",4,6,515510,417320,81,64691,26997220
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Net self-employment income,5,7,515510,86235,16.7,23546,2030597
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Investment income,6,8,515510,170015,33,10366,1762452
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Private retirement income,7,9,515505,1215,0.2,19396,23567
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Market income not included elsewhere,8,10,515510,52945,10.3,7546,399507
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Government transfers,9,11,515510,246495,47.8,2579,635679
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,515510,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,515505,4600,0.9,9088,41805
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Employment Insurance (EI) benefits,12,14,515505,33375,6.5,6020,200901
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Child benefits,13,15,515510,5730,1.1,3728,21363
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Other government transfers,14,16,515510,227355,44.1,1635,371616
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,After-tax income,15,17,515505,512905,99.5,49526,25402491
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Male,2,,Income taxes,16,18,515510,438825,85.1,14690,6446487
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Total income,1,3,550645,542070,98.4,43345,23496251
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Market income,2,4,550640,494870,89.9,43718,21634926
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Employment income,3,5,550640,457200,83,42997,19658062
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,"Wages, salaries and commissions",4,6,550640,420850,76.4,43769,18420296
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Net self-employment income,5,7,550640,79075,14.4,15654,1237845
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Investment income,6,8,550645,187470,34,8180,1533587
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Private retirement income,7,9,550645,1655,0.3,13323,22050
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Market income not included elsewhere,8,10,550645,59745,10.9,7048,421092
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Government transfers,9,11,550640,411380,74.7,4525,1861336
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,550640,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,550645,8330,1.5,8434,70210
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Employment Insurance (EI) benefits,12,14,550640,58230,10.6,7974,464298
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Child benefits,13,15,550645,237275,43.1,4125,978742
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Other government transfers,14,16,550640,244300,44.4,1425,348055
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,After-tax income,15,17,550645,542120,98.5,37060,20090910
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Female,3,,Income taxes,16,18,550640,383410,69.6,8882,3405393
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Total income,1,3,360030,355860,98.8,40443,14391707
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Market income,2,4,360030,328815,91.3,41463,13633462
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Employment income,3,5,360030,315850,87.7,40940,12930637
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,"Wages, salaries and commissions",4,6,360030,297625,82.7,41051,12217711
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Net self-employment income,5,7,360030,46840,13,15223,712963
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Investment income,6,8,360030,88025,24.4,4991,439325
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Private retirement income,7,9,360030,240,0.1,6472,1586
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Market income not included elsewhere,8,10,360030,42965,11.9,6097,261957
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Government transfers,9,11,360025,253830,70.5,2987,758207
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,360030,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,360030,895,0.2,5401,4861
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Employment Insurance (EI) benefits,12,14,360030,37195,10.3,7703,286500
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Child benefits,13,15,360025,47200,13.1,5123,241794
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Other government transfers,14,16,360030,218335,60.6,1031,225068
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,After-tax income,15,17,360025,356180,98.9,34585,12318493
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Total - Sex,1,,Income taxes,16,18,360030,260935,72.5,7946,2073368
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Total income,1,3,178285,177290,99.4,45072,7990733
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Market income,2,4,178285,165865,93,47004,7796337
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Employment income,3,5,178285,160120,89.8,46375,7425386
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,"Wages, salaries and commissions",4,6,178290,149615,83.9,46732,6991613
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Net self-employment income,5,7,178290,25120,14.1,17267,433827
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Investment income,6,8,178285,43565,24.4,5381,234442
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Private retirement income,7,9,178285,110,0.1,8257,867
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Market income not included elsewhere,8,10,178285,21915,12.3,6178,135370
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Government transfers,9,11,178285,115770,64.9,1680,194453
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,178285,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,178285,400,0.2,5467,2214
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Employment Insurance (EI) benefits,12,14,178285,13000,7.3,5594,72723
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Child benefits,13,15,178290,635,0.4,4779,3059
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Other government transfers,14,16,178290,111000,62.3,1049,116480
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,After-tax income,15,17,178290,177600,99.6,37624,6682079
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Male,2,,Income taxes,16,18,178285,140625,78.9,9306,1308599
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Total income,1,3,181740,178570,98.3,35847,6400982
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Market income,2,4,181740,162950,89.7,35823,5837332
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Employment income,3,5,181740,155730,85.7,35351,5505219
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,"Wages, salaries and commissions",4,6,181740,148010,81.4,35308,5225882
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Net self-employment income,5,7,181740,21715,11.9,12858,279282
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Investment income,6,8,181740,44460,24.5,4608,204882
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Private retirement income,7,9,181740,135,0.1,5057,683
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Market income not included elsewhere,8,10,181740,21050,11.6,6012,126557
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Government transfers,9,11,181740,138060,76,4083,563746
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,181740,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,181735,495,0.3,5347,2620
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Employment Insurance (EI) benefits,12,14,181740,24195,13.3,8836,213775
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Child benefits,13,15,181740,46555,25.6,5128,238760
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Other government transfers,14,16,181740,107330,59.1,1012,108588
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,After-tax income,15,17,181740,178575,98.3,31562,5636240
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 34 years,5,,Female,3,,Income taxes,16,18,181740,120315,66.2,6356,764736
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Total income,1,3,333885,330320,98.9,57023,18835695
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Market income,2,4,333885,306235,91.7,58246,17836946
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Employment income,3,5,333890,288585,86.4,57223,16513279
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,"Wages, salaries and commissions",4,6,333885,261530,78.3,58631,15333686
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Net self-employment income,5,7,333890,54890,16.4,21494,1179795
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Investment income,6,8,333890,114180,34.2,9689,1106331
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Private retirement income,7,9,333885,530,0.2,14123,7485
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Market income not included elsewhere,8,10,333890,29500,8.8,7111,209780
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Government transfers,9,11,333890,203995,61.1,4895,998655
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,333890,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,333890,2590,0.8,9162,23774
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Employment Insurance (EI) benefits,12,14,333885,31575,9.5,7883,248899
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Child benefits,13,15,333890,113060,33.9,4542,513491
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Other government transfers,14,16,333885,120340,36,1766,212471
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,After-tax income,15,17,333890,330845,99.1,46648,15433638
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Total - Sex,1,,Income taxes,16,18,333885,264895,79.3,12844,3402340
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Total income,1,3,159135,157790,99.2,68933,10876926
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Market income,2,4,159135,150675,94.7,70943,10689374
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Employment income,3,5,159135,144820,91,69100,10006768
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,"Wages, salaries and commissions",4,6,159135,130560,82,70923,9259730
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Net self-employment income,5,7,159135,28100,17.7,26580,746905
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Investment income,6,8,159140,54165,34,10768,583209
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Private retirement income,7,9,159135,220,0.1,17188,3781
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Market income not included elsewhere,8,10,159135,13305,8.4,7180,95536
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Government transfers,9,11,159135,62495,39.3,2999,187414
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,159135,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,159135,880,0.6,9295,8226
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Employment Insurance (EI) benefits,12,14,159140,10530,6.6,6202,65309
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Child benefits,13,15,159135,2330,1.5,4060,9460
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Other government transfers,14,16,159135,55715,35,1874,104416
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,After-tax income,15,17,159135,158305,99.5,54489,8625907
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Male,2,,Income taxes,16,18,159140,141585,89,15898,2251006
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Total income,1,3,174750,172530,98.7,46130,7959055
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Market income,2,4,174750,155560,89,45948,7147831
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Employment income,3,5,174750,143770,82.3,45258,6506756
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,"Wages, salaries and commissions",4,6,174755,130965,74.9,46376,6073661
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Net self-employment income,5,7,174750,26790,15.3,16158,432883
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Investment income,6,8,174755,60015,34.3,8716,523073
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Private retirement income,7,9,174750,310,0.2,11953,3765
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Market income not included elsewhere,8,10,174750,16195,9.3,7054,114245
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Government transfers,9,11,174750,141500,81,5733,811263
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,174750,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,174750,1710,1,9093,15549
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Employment Insurance (EI) benefits,12,14,174750,21040,12,8724,183552
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Child benefits,13,15,174750,110730,63.4,4552,504053
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Other government transfers,14,16,174755,64625,37,1672,108054
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,After-tax income,15,17,174750,172540,98.7,39455,6807525
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,35 to 44 years,6,,Female,3,,Income taxes,16,18,174755,123310,70.6,9337,1151346
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Total income,1,3,372235,367085,98.6,60251,22117659
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Market income,2,4,372235,342780,92.1,62365,21377334
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Employment income,3,5,372240,313930,84.3,61293,19241559
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,"Wages, salaries and commissions",4,6,372235,279015,75,64032,17865798
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Net self-employment income,5,7,372235,63585,17.1,21634,1375595
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Investment income,6,8,372235,155280,41.7,11272,1750385
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Private retirement income,7,9,372240,2095,0.6,17437,36619
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Market income not included elsewhere,8,10,372235,40225,10.8,8673,348896
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Government transfers,9,11,372235,200050,53.7,3700,740148
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,372235,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,372235,9435,2.5,8841,83410
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Employment Insurance (EI) benefits,12,14,372235,22835,6.1,5684,129798
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Child benefits,13,15,372235,82740,22.2,2958,244776
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Other government transfers,14,16,372235,132985,35.7,2122,282139
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,After-tax income,15,17,372235,368000,98.9,48210,17741266
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Total - Sex,1,,Income taxes,16,18,372235,296405,79.6,14764,4376284
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Total income,1,3,178085,176120,98.9,73708,12981089
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Market income,2,4,178085,166425,93.5,76477,12727676
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Employment income,3,5,178085,156220,87.7,74222,11594940
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,"Wages, salaries and commissions",4,6,178085,137145,77,78350,10745272
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Net self-employment income,5,7,178085,33015,18.5,25741,849852
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Investment income,6,8,178085,72290,40.6,13070,944812
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Private retirement income,7,9,178085,885,0.5,21300,18850
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Market income not included elsewhere,8,10,178080,17735,10,9509,168599
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Government transfers,9,11,178085,68230,38.3,3720,253819
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,178085,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,178085,3315,1.9,9473,31402
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Employment Insurance (EI) benefits,12,14,178085,9845,5.5,6386,62869
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Child benefits,13,15,178085,2760,1.5,3205,8845
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Other government transfers,14,16,178085,60640,34.1,2485,150720
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,After-tax income,15,17,178085,177000,99.4,57030,10094289
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Male,2,,Income taxes,16,18,178085,156615,87.9,18433,2886950
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Total income,1,3,194150,190965,98.4,47841,9136234
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Market income,2,4,194150,176360,90.8,49047,8649990
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Employment income,3,5,194150,157705,81.2,48485,7646289
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,"Wages, salaries and commissions",4,6,194155,141870,73.1,50191,7120534
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Net self-employment income,5,7,194150,30570,15.7,17198,525746
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Investment income,6,8,194150,82995,42.7,9707,805584
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Private retirement income,7,9,194150,1210,0.6,14606,17673
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Market income not included elsewhere,8,10,194150,22500,11.6,8013,180294
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Government transfers,9,11,194150,131825,67.9,3689,486310
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,194155,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,194150,6120,3.2,8498,51966
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Employment Insurance (EI) benefits,12,14,194150,12990,6.7,5152,66930
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Child benefits,13,15,194150,79985,41.2,2950,235947
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Other government transfers,14,16,194150,72350,37.3,1817,131420
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,After-tax income,15,17,194155,191000,98.4,40036,7646767
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,45 to 54 years,7,,Female,3,,Income taxes,16,18,194150,139795,72,10654,1489323
