CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Year (2),Member ID: Year (2),Notes: Year (2),DIM: Age (9),Member ID: Age (9),Notes: Age (9),DIM: Sex (3),Member ID: Sex (3),Notes: Sex (3),DIM: Income sources and taxes (16),Member ID: Income sources and taxes (16),Notes: Income sources and taxes (16),Dim: Income statistics (5A): Member ID: [1]: Total - Population aged 15 years and over,Dim: Income statistics (5A): Member ID: [2]: With an amount,Dim: Income statistics (5A): Member ID: [3]: Percentage with an amount (%),Dim: Income statistics (5A): Member ID: [4]: Average amount ($) (Note: 19),Dim: Income statistics (5A): Member ID: [5]: Aggregate amount ($'000)
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Male,2,,Income taxes,16,18,998835,735820,73.7,14492,10663257
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Total income,1,3,1065780,1021435,95.8,38360,39181978
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Market income,2,4,1065785,905525,85,37762,34194399
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Employment income,3,5,1065780,734195,68.9,36854,27057854
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,"Wages, salaries and commissions",4,6,1065780,674335,63.3,37475,25270569
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Net self-employment income,5,7,1065785,120220,11.3,14865,1787031
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Investment income,6,8,1065780,398840,37.4,9745,3886861
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Private retirement income,7,9,1065780,126195,11.8,18068,2280047
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Market income not included elsewhere,8,10,1065780,167030,15.7,5807,969864
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Government transfers,9,11,1065780,788260,74,6327,4987563
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,1065785,173155,16.2,8427,1459207
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,1065780,208160,19.5,6532,1359658
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Employment Insurance (EI) benefits,12,14,1065780,73135,6.9,7359,538207
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Child benefits,13,15,1065780,248375,23.3,4074,1011971
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Other government transfers,14,16,1065785,508575,47.7,1216,618494
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,After-tax income,15,17,1065780,1021650,95.9,32798,33508216
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Female,3,,Income taxes,16,18,1065780,634090,59.5,8948,5673801
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Total income,1,3,307320,241930,78.7,14285,3455979
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Market income,2,4,307320,217440,70.8,14999,3261471
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Employment income,3,5,307320,200375,65.2,13660,2737023
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,"Wages, salaries and commissions",4,6,307320,195360,63.6,13456,2628755
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Net self-employment income,5,7,307320,14895,4.8,7269,108266
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Investment income,6,8,307320,32195,10.5,7465,240291
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Private retirement income,7,9,307320,190,0.1,2828,537
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Market income not included elsewhere,8,10,307320,68675,22.3,4130,283612
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Government transfers,9,11,307320,185280,60.3,1050,194518
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,307320,10,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,307320,4910,1.6,2861,14048
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Employment Insurance (EI) benefits,12,14,307320,5940,1.9,4761,28283
