TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,9,15,23,50,12XX W BROADWAY AVE,Fairview,490414.6899,5456751.151
Break and Enter Commercial,2020,8,5,16,35,12XX W CORDOVA ST,Central Business District,491003.7164,5459691.529
Break and Enter Commercial,2020,4,1,22,30,12XX W GEORGIA ST,Central Business District,490883.4655,5459392.471
Break and Enter Commercial,2020,5,30,2,1,12XX W HASTINGS ST,Central Business District,490992.1531,5459600.393
Break and Enter Commercial,2020,9,19,5,23,12XX W HASTINGS ST,Central Business District,490992.1531,5459600.393
Break and Enter Commercial,2020,9,20,3,32,12XX W HASTINGS ST,Central Business District,491023.488,5459585.814
Break and Enter Commercial,2020,9,24,16,15,12XX W HASTINGS ST,Central Business District,491061.5289,5459578.2
Break and Enter Commercial,2020,3,27,0,0,12XX W PENDER ST,Central Business District,490899.0425,5459585.158
Break and Enter Commercial,2020,3,27,17,0,12XX W PENDER ST,Central Business District,490899.0425,5459585.158
Break and Enter Commercial,2020,5,7,4,25,12XX W PENDER ST,Central Business District,490899.0425,5459585.158
Break and Enter Commercial,2020,4,12,4,33,12XX W PENDER ST,Central Business District,490929.4604,5459560.85
Break and Enter Commercial,2020,8,12,8,44,12XX WOODLAND DR,Grandview-Woodland,494655.7669,5457904.219
Break and Enter Commercial,2020,3,13,0,0,13XX BURNABY ST,West End,490063.0699,5458863.722
Break and Enter Commercial,2020,6,30,9,43,13XX BURRARD ST,Central Business District,490410.3314,5458289.382
Break and Enter Commercial,2020,8,14,7,15,13XX BURRARD ST,West End,490427.9303,5458319.947
Break and Enter Commercial,2020,5,19,18,13,13XX CHESTNUT ST,Kitsilano,489354.2618,5457924.32
Break and Enter Commercial,2020,6,19,4,8,13XX COMOX ST,West End,490299.2122,5459106.46
Break and Enter Commercial,2020,9,14,5,31,13XX DAVIE ST,West End,490155.5609,5458929.768
Break and Enter Commercial,2020,10,6,9,52,13XX E KENT AVE N,Sunset,494282.4885,5450726.173
Break and Enter Commercial,2020,5,25,10,17,13XX GRANT ST,Grandview-Woodland,494495.1011,5457634.177
Break and Enter Commercial,2020,3,20,0,0,13XX HARO ST,West End,490509.464,5459350.455
Break and Enter Commercial,2020,10,29,11,21,13XX HARWOOD ST,West End,489967.9229,5458816.894
Break and Enter Commercial,2020,6,20,22,0,13XX HARWOOD ST,West End,489982.1939,5458802.565
Break and Enter Commercial,2020,4,6,23,27,13XX HOWE ST,Central Business District,490565.4463,5458169.336
Break and Enter Commercial,2020,6,19,4,56,13XX HOWE ST,Central Business District,490565.4463,5458169.336
Break and Enter Commercial,2020,6,26,3,44,13XX HOWE ST,Central Business District,490565.4463,5458169.336
Break and Enter Commercial,2020,3,19,8,0,13XX JOHNSTON ST,Fairview,490297.8809,5457544.862
Break and Enter Commercial,2020,4,8,3,14,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494429.4248,5455297.429
Break and Enter Commercial,2020,8,23,7,6,13XX LAMEYS MILL RD,Fairview,490184.3101,5457196.808
Break and Enter Commercial,2020,7,17,2,25,13XX MARINASIDE CRES,Central Business District,491144.9113,5457679.353
Break and Enter Commercial,2020,4,13,22,0,13XX PENDRELL ST,West End,490227.7316,5459011.655
Break and Enter Commercial,2020,6,16,15,59,13XX PENDRELL ST,West End,490227.7316,5459011.655
Break and Enter Commercial,2020,10,19,3,0,13XX RICHARDS ST,Central Business District,490749.8422,5457913.102
Break and Enter Commercial,2020,3,30,20,28,13XX RICHARDS ST,Central Business District,490817.1616,5457992.172
Break and Enter Commercial,2020,4,5,10,55,13XX ROBSON ST,West End,490644.2737,5459370.981
Break and Enter Commercial,2020,7,7,23,45,13XX ROLSTON ST,Central Business District,490735.2571,5458092.406
Break and Enter Commercial,2020,8,5,4,2,13XX SE MARINE DR,Sunset,494127.0083,5450916.275
Break and Enter Commercial,2020,7,3,6,0,13XX W 10TH AVE,Fairview,490199.0188,5456649.265
Break and Enter Commercial,2020,6,11,1,18,13XX W 10TH AVE,Fairview,490202.4339,5456658.328
Break and Enter Commercial,2020,3,18,17,0,13XX W 4TH AVE,Fairview,490161.4816,5457123.07
Break and Enter Commercial,2020,6,12,22,0,13XX W 4TH AVE,Fairview,490174.6495,5457110.672
Break and Enter Commercial,2020,4,29,20,0,13XX W 8TH AVE,Fairview,490254.6372,5456855.766
Break and Enter Commercial,2020,3,25,3,17,13XX W BROADWAY AVE,Fairview,490113.8229,5456768.232
Break and Enter Commercial,2020,4,24,23,0,13XX W BROADWAY AVE,Fairview,490113.8229,5456768.232
Break and Enter Commercial,2020,4,20,14,0,13XX W BROADWAY AVE,Fairview,490202.1908,5456756.623
Break and Enter Commercial,2020,6,7,10,19,13XX W GEORGIA ST,Central Business District,490743.2799,5459531.587
Break and Enter Commercial,2020,8,30,0,49,14XX ADANAC ST,Grandview-Woodland,494585.6015,5458318.719
Break and Enter Commercial,2020,8,14,11,14,14XX ARBUTUS ST,Kitsilano,488905.6076,5457826.741
Break and Enter Commercial,2020,9,10,1,0,14XX BARCLAY ST,West End,490342.8284,5459363.476
Break and Enter Commercial,2020,10,19,22,27,14XX BARCLAY ST,West End,490342.8284,5459363.476
Break and Enter Commercial,2020,5,11,19,58,14XX BURNABY ST,West End,489961.3118,5458963.25
Break and Enter Commercial,2020,8,21,23,0,14XX BURNABY ST,West End,489961.3118,5458963.25
Break and Enter Commercial,2020,10,13,16,14,14XX BURNABY ST,West End,489961.3118,5458963.25
Break and Enter Commercial,2020,3,13,15,0,14XX BURNABY ST,West End,489973.7858,5458950.832
Break and Enter Commercial,2020,6,17,15,29,14XX BURRARD ST,Central Business District,490290.355,5458175.476
Break and Enter Commercial,2020,3,27,21,0,14XX CONTINENTAL ST,Central Business District,490512.2176,5458043.518
Break and Enter Commercial,2020,3,29,8,2,14XX CYPRESS ST,Kitsilano,489245.8136,5457841.63
Break and Enter Commercial,2020,5,7,23,30,14XX E 14TH AVE,Kensington-Cedar Cottage,494559.5023,5456119.672
Break and Enter Commercial,2020,9,30,20,0,14XX E 3RD AVE,Grandview-Woodland,494548.1234,5457237.957
Break and Enter Commercial,2020,3,12,1,41,14XX E 3RD AVE,Grandview-Woodland,494586.5718,5457237.405
Break and Enter Commercial,2020,4,2,9,50,14XX E 7TH AVE,Grandview-Woodland,494574.7256,5456824.133
Break and Enter Commercial,2020,5,25,3,9,14XX E BROADWAY AVE,Grandview-Woodland,494606.204,5456629.4
Break and Enter Commercial,2020,7,20,9,52,14XX E BROADWAY AVE,Grandview-Woodland,494606.204,5456629.4
Break and Enter Commercial,2020,8,31,8,0,14XX E BROADWAY AVE,Grandview-Woodland,494606.204,5456629.4
Break and Enter Commercial,2020,9,18,4,19,14XX E BROADWAY AVE,Grandview-Woodland,494606.204,5456629.4
Break and Enter Commercial,2020,10,18,18,0,14XX E BROADWAY AVE,Grandview-Woodland,494606.204,5456629.4
Break and Enter Commercial,2020,9,29,1,15,14XX E HASTINGS ST,Grandview-Woodland,494561.0742,5458727.451
Break and Enter Commercial,2020,9,2,13,56,14XX E PENDER ST,Grandview-Woodland,494541.6667,5458627.351
Break and Enter Commercial,2020,4,9,4,0,14XX E PENDER ST,Grandview-Woodland,494558.312,5458617.914
Break and Enter Commercial,2020,3,11,0,0,14XX HARWOOD ST,West End,489917.5273,5458853.118
Break and Enter Commercial,2020,8,13,23,0,14XX HOWE ST,Central Business District,490436.0475,5458026.7
Break and Enter Commercial,2020,3,22,7,0,14XX LAMEYS MILL RD,Fairview,490007.4357,5457361.38
Break and Enter Commercial,2020,8,11,4,29,14XX LAMEYS MILL RD,Fairview,490094.2869,5457244.962
Break and Enter Commercial,2020,8,30,5,6,14XX LAMEYS MILL RD,Fairview,490094.2869,5457244.962
Break and Enter Commercial,2020,8,31,4,40,14XX LAMEYS MILL RD,Fairview,490094.2869,5457244.962
Break and Enter Commercial,2020,6,24,0,0,14XX MARPOLE AVE,Fairview,489952.6838,5456070.655
Break and Enter Commercial,2020,9,1,11,39,14XX MARPOLE AVE,Fairview,489952.6838,5456070.655
Break and Enter Commercial,2020,4,14,23,9,14XX MATTHEWS AVE,Shaughnessy,489900.4641,5455615.151
Break and Enter Commercial,2020,4,6,11,7,14XX PENNYFARTHING DR,Fairview,489676.1259,5457753.094
Break and Enter Commercial,2020,3,19,5,47,14XX ROBSON ST,West End,490480.7265,5459545.262
Break and Enter Commercial,2020,3,21,4,22,14XX VENABLES ST,Grandview-Woodland,494575.2523,5458217.328
Break and Enter Commercial,2020,9,18,20,15,14XX VENABLES ST,Grandview-Woodland,494648.6231,5458215.909
Break and Enter Commercial,2020,7,9,23,0,14XX W 10TH AVE,Fairview,489963.9717,5456656.011
Break and Enter Commercial,2020,6,10,10,11,14XX W 11TH AVE,Fairview,489951.0306,5456552.953
Break and Enter Commercial,2020,4,23,0,0,14XX W 11TH AVE,Fairview,489962.0522,5456561.699
Break and Enter Commercial,2020,3,20,3,0,14XX W 11TH AVE,Fairview,490051.1793,5456549.28
Break and Enter Commercial,2020,5,7,10,38,14XX W 11TH AVE,Fairview,490051.1793,5456549.28
Break and Enter Commercial,2020,3,28,16,0,14XX W 13TH AVE,Fairview,490004.6502,5456350.672
Break and Enter Commercial,2020,7,5,1,0,14XX W 13TH AVE,Fairview,490004.6502,5456350.672
Break and Enter Commercial,2020,3,25,0,22,14XX W 70TH AVE,Marpole,489869.7089,5450658.808
Break and Enter Commercial,2020,10,15,7,56,14XX W 70TH AVE,Marpole,489869.7089,5450658.808
Break and Enter Commercial,2020,9,7,4,41,14XX W 73RD AVE,Marpole,489941.1453,5450266.495
Break and Enter Commercial,2020,4,26,4,10,14XX W BROADWAY AVE,Fairview,490091.3334,5456759.654
Break and Enter Commercial,2020,8,4,5,33,14XX W BROADWAY AVE,Fairview,490091.3334,5456759.654
Break and Enter Commercial,2020,10,22,7,3,14XX W BROADWAY AVE,Fairview,490091.3334,5456759.654
Break and Enter Commercial,2020,8,2,3,5,14XX W GEORGIA ST,West End,490628.9295,5459632.79
Break and Enter Commercial,2020,10,5,3,39,14XX W GEORGIA ST,West End,490628.9295,5459632.79
Break and Enter Commercial,2020,10,1,4,15,14XX W GEORGIA ST,West End,490652.4855,5459608.893
Break and Enter Commercial,2020,3,26,2,17,15XX ALBERNI ST,West End,490536.6754,5459632.87
Break and Enter Commercial,2020,10,25,20,0,15XX ATLAS LANE,Kerrisdale,489731.2826,5451999.793
Break and Enter Commercial,2020,6,26,5,8,15XX COAL HARBOUR QUAY,Central Business District,490669.7648,5459878.959
Break and Enter Commercial,2020,5,26,1,34,15XX COAL HARBOUR QUAY,Central Business District,490710.7048,5459851.846
Break and Enter Commercial,2020,4,12,6,16,15XX COMMERCIAL DR,Grandview-Woodland,494930.39,5457617.663
Break and Enter Commercial,2020,9,1,6,0,15XX COMOX ST,West End,490124.9964,5459279.12
Break and Enter Commercial,2020,5,28,22,56,15XX DAVIE ST,West End,489983.1283,5459111.808
Break and Enter Commercial,2020,8,8,13,12,15XX E 3RD AVE,Grandview-Woodland,494702.8694,5457226.609
Break and Enter Commercial,2020,8,16,15,43,15XX E 5TH AVE,Grandview-Woodland,494755.6684,5457034.336
Break and Enter Commercial,2020,5,24,0,0,15XX E BROADWAY AVE,Kensington-Cedar Cottage,494668.3725,5456619.364
Break and Enter Commercial,2020,9,4,4,43,15XX E HASTINGS ST,Grandview-Woodland,494618.8597,5458726.378
Break and Enter Commercial,2020,10,23,23,30,15XX E HASTINGS ST,Grandview-Woodland,494702.2158,5458724.772
Break and Enter Commercial,2020,4,10,22,42,15XX GRANVILLE ST,Central Business District,490485.1499,5457930.64
Break and Enter Commercial,2020,8,21,3,24,15XX HARWOOD ST,West End,489793.1915,5458975.854
Break and Enter Commercial,2020,10,1,6,30,15XX HORNBY ST,Central Business District,490343.2374,5458068.915
Break and Enter Commercial,2020,7,31,7,20,15XX HOWE ST,Central Business District,490411.6225,5458001.974
Break and Enter Commercial,2020,10,13,3,39,15XX HOWE ST,Central Business District,490411.6225,5458001.974
Break and Enter Commercial,2020,9,17,1,30,15XX HOWE ST,Central Business District,490413.3335,5458003.691
Break and Enter Commercial,2020,3,25,8,8,15XX JOHNSTON ST,Fairview,490199.5122,5457675.538
Break and Enter Commercial,2020,3,31,5,0,15XX ROBSON ST,West End,490441.61,5459583.946
Break and Enter Commercial,2020,8,16,3,41,15XX ROBSON ST,West End,490441.61,5459583.946
Break and Enter Commercial,2020,4,14,8,24,15XX ROBSON ST,West End,490443.254,5459569.402
Break and Enter Commercial,2020,9,17,4,0,15XX ROBSON ST,West End,490457.7597,5459554.952
Break and Enter Commercial,2020,6,3,2,20,15XX VERNON DR,Strathcona,494267.8462,5457562.411
Break and Enter Commercial,2020,8,17,4,33,15XX VERNON DR,Strathcona,494267.8462,5457562.411
Break and Enter Commercial,2020,4,10,9,47,15XX W 10TH AVE,Fairview,489786.1906,5456669.973
Break and Enter Commercial,2020,4,14,0,43,15XX W 10TH AVE,Fairview,489786.1906,5456669.973
Break and Enter Commercial,2020,6,2,9,24,15XX W 16TH AVE,Fairview,489741.3144,5456050.437
Break and Enter Commercial,2020,10,1,10,29,15XX W 16TH AVE,Fairview,489783.6318,5456049.18
Break and Enter Commercial,2020,4,18,0,0,15XX W 3RD AVE,Fairview,489820.7469,5457343.305
Break and Enter Commercial,2020,5,5,12,42,15XX W 57TH AVE,Kerrisdale,489610.323,5451859.862
Break and Enter Commercial,2020,5,12,21,0,15XX W 71ST AVE,Marpole,489558.2751,5450494.442
Break and Enter Commercial,2020,5,11,8,34,15XX W 75TH AVE,Marpole,489607.6616,5450190.207
Break and Enter Commercial,2020,9,20,8,15,15XX W 75TH AVE,Marpole,489620.6981,5450185.213
Break and Enter Commercial,2020,4,29,19,35,15XX W 7TH AVE,Fairview,489806.5342,5456960.941
Break and Enter Commercial,2020,3,25,10,26,15XX W 7TH AVE,Fairview,489813.8887,5456969.986
Break and Enter Commercial,2020,3,21,1,20,15XX W 8TH AVE,Fairview,489769.1783,5456868.688
Break and Enter Commercial,2020,6,26,1,10,15XX W 8TH AVE,Fairview,489865.8314,5456866.13
Break and Enter Commercial,2020,8,30,4,17,15XX W BROADWAY AVE,Fairview,489755.1151,5456775.087
Break and Enter Commercial,2020,11,3,5,44,15XX W BROADWAY AVE,Fairview,489755.1151,5456775.087
Break and Enter Commercial,2020,3,31,6,2,15XX W BROADWAY AVE,Fairview,489830.7002,5456764.64
Break and Enter Commercial,2020,8,30,23,0,15XX W BROADWAY AVE,Fairview,489896.5634,5456763.505
Break and Enter Commercial,2020,3,15,21,41,15XX W GEORGIA ST,Central Business District,490530.1903,5459746.054
Break and Enter Commercial,2020,10,11,11,37,15XX W HASTINGS ST,Central Business District,490644.4842,5459767.583
Break and Enter Commercial,2020,9,27,2,40,15XX W PENDER ST,Central Business District,490557.6402,5459743.596
Break and Enter Commercial,2020,5,13,11,57,16XX ADANAC ST,Grandview-Woodland,494801.8464,5458312.324
Break and Enter Commercial,2020,5,16,0,0,16XX ADANAC ST,Grandview-Woodland,494801.8464,5458312.324
Break and Enter Commercial,2020,9,24,2,22,16XX BARCLAY ST,West End,490155.2611,5459549.307
Break and Enter Commercial,2020,8,5,7,0,16XX BAYSHORE DR,Central Business District,490555.3558,5459895.742
Break and Enter Commercial,2020,8,21,5,0,16XX BAYSHORE DR,Central Business District,490555.3558,5459895.742
Break and Enter Commercial,2020,10,26,11,46,16XX BEACH AVE,West End,489679.4415,5458940.062
Break and Enter Commercial,2020,4,27,13,0,16XX BURNABY ST,West End,489807.2985,5459115.244
Break and Enter Commercial,2020,5,7,20,0,16XX COMMERCIAL DR,Grandview-Woodland,494927.9092,5457486.68
Break and Enter Commercial,2020,8,24,10,10,16XX COTTON DR,Grandview-Woodland,494788.9762,5457465.994
Break and Enter Commercial,2020,10,17,3,0,16XX CYPRESS ST,Kitsilano,489238.8672,5457586.128
Break and Enter Commercial,2020,4,11,0,0,16XX CYPRESS ST,Kitsilano,489247.6646,5457573.464
Break and Enter Commercial,2020,5,8,3,13,16XX CYPRESS ST,Kitsilano,489247.6646,5457573.464
Break and Enter Commercial,2020,9,28,9,46,16XX DAVIE ST,West End,489834.5511,5459246.888
Break and Enter Commercial,2020,5,13,7,47,16XX DAVIE ST,West End,489854.2214,5459227.253
Break and Enter Commercial,2020,5,9,18,45,16XX DAVIE ST,West End,489871.1197,5459223.305
Break and Enter Commercial,2020,7,15,2,0,16XX E 13TH AVE,Kensington-Cedar Cottage,494890.1791,5456220.753
Break and Enter Commercial,2020,7,19,17,5,16XX E 13TH AVE,Kensington-Cedar Cottage,494890.1791,5456220.753
Break and Enter Commercial,2020,5,15,22,30,16XX E 2ND AVE,Grandview-Woodland,494875.8102,5457334.284
Break and Enter Commercial,2020,9,17,14,0,16XX E BROADWAY AVE,Grandview-Woodland,494869.7445,5456625.722
Break and Enter Commercial,2020,10,15,4,54,16XX E HASTINGS ST,Grandview-Woodland,494752.4299,5458723.385
Break and Enter Commercial,2020,4,13,21,15,16XX E HASTINGS ST,Grandview-Woodland,494815.0001,5458721.426
Break and Enter Commercial,2020,5,24,0,52,16XX GRANVILLE ST,Central Business District,490419.584,5457877.158
Break and Enter Commercial,2020,6,9,0,6,16XX GRANVILLE ST,Central Business District,490419.584,5457877.158
Break and Enter Commercial,2020,10,6,18,45,16XX HARO ST,West End,490282.5213,5459577.929
Break and Enter Commercial,2020,10,24,18,0,16XX HORNBY ST,Central Business District,490299.2806,5458037.731
Break and Enter Commercial,2020,9,10,5,45,16XX HOWE ST,Central Business District,490355.2593,5457945.533
Break and Enter Commercial,2020,3,23,10,25,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494847.0706,5455010.098
Break and Enter Commercial,2020,9,21,0,0,16XX MANITOBA ST,Mount Pleasant,492238.2558,5457561.083
Break and Enter Commercial,2020,10,18,16,0,16XX NELSON ST,West End,490043.7788,5459500.657
Break and Enter Commercial,2020,3,20,0,0,16XX NELSON ST,West End,490088.6014,5459469.036
Break and Enter Commercial,2020,4,9,15,30,16XX PANDORA ST,Grandview-Woodland,494781.6905,5458924.682
Break and Enter Commercial,2020,6,17,16,30,16XX PANDORA ST,Grandview-Woodland,494781.6905,5458924.682
Break and Enter Commercial,2020,4,10,3,1,16XX PENDRELL ST,West End,489916.532,5459322.024
Break and Enter Commercial,2020,4,20,3,39,16XX PENDRELL ST,West End,489916.532,5459322.024
Break and Enter Commercial,2020,6,12,1,30,16XX RENFREW ST,Hastings-Sunrise,496778.8954,5457437.101
Break and Enter Commercial,2020,6,12,14,45,16XX RENFREW ST,Hastings-Sunrise,496779.0353,5457449.722
Break and Enter Commercial,2020,3,12,0,0,16XX ROBSON ST,West End,490361.0873,5459651.465
Break and Enter Commercial,2020,4,7,4,0,16XX SALT ST,Mount Pleasant,492287.1191,5457560.679
Break and Enter Commercial,2020,10,5,6,0,16XX SALT ST,Mount Pleasant,492287.1191,5457560.679
Break and Enter Commercial,2020,9,19,21,23,16XX SE MARINE DR,Victoria-Fraserview,494629.0648,5450911.942
Break and Enter Commercial,2020,9,25,5,0,16XX SE MARINE DR,Victoria-Fraserview,494629.0648,5450911.942
Break and Enter Commercial,2020,9,16,4,54,16XX STATION ST,Strathcona,492870.6794,5457575.395
Break and Enter Commercial,2020,10,4,3,12,16XX W 1ST AVE,Fairview,489702.5062,5457540.945
Break and Enter Commercial,2020,10,11,5,0,16XX W 2ND AVE,Fairview,489653.2217,5457455.666
Break and Enter Commercial,2020,10,14,2,30,16XX W 2ND AVE,Fairview,489653.2217,5457455.666
Break and Enter Commercial,2020,6,8,10,34,16XX W 2ND AVE,Fairview,489691.9292,5457445.619
Break and Enter Commercial,2020,3,23,5,16,16XX W 3RD AVE,Fairview,489629.3639,5457357.935
Break and Enter Commercial,2020,5,14,9,37,16XX W 3RD AVE,Fairview,489718.8902,5457346.122
Break and Enter Commercial,2020,4,6,0,39,16XX W 4TH AVE,Fairview,489593.2081,5457258.92
Break and Enter Commercial,2020,7,2,5,20,16XX W 4TH AVE,Fairview,489668.8673,5457247.661
Break and Enter Commercial,2020,7,3,20,50,16XX W 4TH AVE,Fairview,489668.8673,5457247.661
Break and Enter Commercial,2020,9,8,3,37,16XX W 8TH AVE,Fairview,489594.8635,5456873.685
Break and Enter Commercial,2020,3,12,17,21,16XX W 8TH AVE,Fairview,489679.006,5456881.062
Break and Enter Commercial,2020,8,31,13,13,16XX W BROADWAY AVE,Fairview,489628.8643,5456778.958
Break and Enter Commercial,2020,9,26,22,30,17XX BAYSHORE DR,Central Business District,490415.7195,5459959.164
Break and Enter Commercial,2020,10,6,10,2,17XX BEACH AVE,West End,489639.0715,5459330.226
Break and Enter Commercial,2020,4,2,23,0,17XX COMMERCIAL DR,Grandview-Woodland,494926.7606,5457395.426
Break and Enter Commercial,2020,6,28,21,0,17XX COMMERCIAL DR,Grandview-Woodland,494926.7606,5457395.426
Break and Enter Commercial,2020,10,6,6,31,17XX COMMERCIAL DR,Grandview-Woodland,494935.8952,5457418.855
Break and Enter Commercial,2020,4,30,3,45,17XX COMOX ST,West End,489871.144,5459519.589
Break and Enter Commercial,2020,5,5,4,30,17XX COMOX ST,West End,489936.5185,5459466.188
Break and Enter Commercial,2020,5,3,20,14,17XX COOK ST,Mount Pleasant,491985.4188,5457397.397
Break and Enter Commercial,2020,9,25,4,30,17XX DAVIE ST,West End,489708.1092,5459372.808
Break and Enter Commercial,2020,3,30,19,0,17XX DAVIE ST,West End,489718.6811,5459362.29
Break and Enter Commercial,2020,9,9,13,21,17XX DAVIE ST,West End,489727.1386,5459353.875
Break and Enter Commercial,2020,4,12,1,27,17XX DAVIE ST,West End,489742.0455,5459351.943
Break and Enter Commercial,2020,6,14,19,0,17XX E 18TH AVE,Kensington-Cedar Cottage,495024.3989,5455731.007
Break and Enter Commercial,2020,6,15,14,38,17XX E 18TH AVE,Kensington-Cedar Cottage,495024.3989,5455731.007
Break and Enter Commercial,2020,5,3,10,4,17XX E GEORGIA ST,Grandview-Woodland,494921.8411,5458420.267
Break and Enter Commercial,2020,10,11,20,0,17XX E KENT AVE S,Victoria-Fraserview,494919.0053,5450603.316
Break and Enter Commercial,2020,4,7,0,0,17XX E PENDER ST,Grandview-Woodland,494926.4997,5458611.41
Break and Enter Commercial,2020,6,22,6,0,17XX E PENDER ST,Grandview-Woodland,494926.4997,5458611.41
Break and Enter Commercial,2020,6,24,22,52,17XX E PENDER ST,Grandview-Woodland,494953.1561,5458610.957
Break and Enter Commercial,2020,4,19,0,0,17XX FRANCES ST,Grandview-Woodland,494991.3885,5458518.246
Break and Enter Commercial,2020,3,23,16,30,17XX FRANKLIN ST,Grandview-Woodland,494967.6803,5458822.022
Break and Enter Commercial,2020,4,11,0,15,17XX KINGSWAY AVE,Kensington-Cedar Cottage,494953.2134,5454923.341
Break and Enter Commercial,2020,7,15,9,18,17XX MANITOBA ST,Mount Pleasant,492238.2035,5457443.352
Break and Enter Commercial,2020,9,26,8,0,17XX MANITOBA ST,Mount Pleasant,492238.4116,5457415.937
Break and Enter Commercial,2020,4,18,0,0,17XX NELSON ST,West End,490026.1983,5459531.431
Break and Enter Commercial,2020,4,9,6,3,17XX ONTARIO ST,Mount Pleasant,492393.1391,5457485.389
Break and Enter Commercial,2020,5,26,15,8,17XX ONTARIO ST,Mount Pleasant,492393.1391,5457485.389
Break and Enter Commercial,2020,6,11,14,15,17XX ONTARIO ST,Mount Pleasant,492393.1391,5457485.389
Break and Enter Commercial,2020,7,9,4,0,17XX PANDORA ST,Grandview-Woodland,495022.0734,5458930.635
Break and Enter Commercial,2020,5,11,1,16,17XX PENDRELL ST,West End,489793.7635,5459440.362
Break and Enter Commercial,2020,5,18,9,40,17XX PENDRELL ST,West End,489793.7635,5459440.362
Break and Enter Commercial,2020,10,18,15,17,17XX PENDRELL ST,West End,489849.2774,5459398.898
Break and Enter Commercial,2020,10,22,22,4,17XX POWELL ST,Grandview-Woodland,495022.0891,5459055.748
Break and Enter Commercial,2020,3,28,23,42,17XX ROBSON ST,West End,490245.1536,5459767.847
Break and Enter Commercial,2020,8,16,5,30,17XX VERNON DR,Strathcona,494260.8547,5457417.329
Break and Enter Commercial,2020,4,2,18,10,17XX W 11TH AVE,Fairview,489471.6207,5456573.898
Break and Enter Commercial,2020,4,24,13,15,17XX W 12TH AVE,Fairview,489440.0679,5456467.596
Break and Enter Commercial,2020,10,26,16,0,17XX W 13TH AVE,Fairview,489427.7257,5456366.189
Break and Enter Commercial,2020,5,8,21,0,17XX W 13TH AVE,Fairview,489532.403,5456353.635
Break and Enter Commercial,2020,7,7,0,0,17XX W 13TH AVE,Fairview,489532.403,5456353.635
Break and Enter Commercial,2020,4,5,17,0,17XX W 2ND AVE,Fairview,489499.4253,5457450.305
Break and Enter Commercial,2020,6,14,15,30,17XX W 3RD AVE,Fairview,489544.4898,5457351.138
Break and Enter Commercial,2020,4,7,7,35,17XX W 4TH AVE,Fairview,489430.2187,5457263.487
Break and Enter Commercial,2020,5,5,18,0,17XX W 4TH AVE,Fairview,489483.5312,5457252.848
Break and Enter Commercial,2020,4,19,5,13,17XX W 4TH AVE,Fairview,489560.791,5457259.835
Break and Enter Commercial,2020,7,16,17,0,17XX W 75TH AVE,Marpole,489158.6158,5450508.454
Break and Enter Commercial,2020,4,30,20,34,17XX W 7TH AVE,Fairview,489452.4791,5456970.025
Break and Enter Commercial,2020,4,19,11,23,17XX W 7TH AVE,Fairview,489462.0414,5456969.78
Break and Enter Commercial,2020,6,13,13,48,17XX W 8TH AVE,Fairview,489460.2234,5456887.453
Break and Enter Commercial,2020,4,4,22,10,17XX W 8TH AVE,Fairview,489469.4803,5456877.959
Break and Enter Commercial,2020,11,2,10,42,17XX W BROADWAY AVE,Fairview,489419.4224,5456775.913
Break and Enter Commercial,2020,10,19,19,19,18XX BALSAM ST,Kitsilano,488369.7944,5457431.077
Break and Enter Commercial,2020,4,2,23,31,18XX CLARK DR,Strathcona,494366.004,5457252.892
Break and Enter Commercial,2020,6,18,5,5,18XX CLARK DR,Strathcona,494366.004,5457252.892
Break and Enter Commercial,2020,9,7,11,17,18XX COMMERCIAL DR,Grandview-Woodland,494926.7101,5457312.455
Break and Enter Commercial,2020,9,8,8,46,18XX CORNWALL AVE,Kitsilano,489264.1378,5457760.986
Break and Enter Commercial,2020,10,11,6,0,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.694
Break and Enter Commercial,2020,4,4,23,0,18XX CROWE ST,Mount Pleasant,491845.3855,5457336.091
Break and Enter Commercial,2020,8,14,0,48,18XX E 10TH AVE,Kensington-Cedar Cottage,495116.9742,5456511.197
Break and Enter Commercial,2020,10,14,0,43,18XX E HASTINGS ST,Grandview-Woodland,495079.3488,5458717.612
Break and Enter Commercial,2020,10,31,23,31,18XX E HASTINGS ST,Grandview-Woodland,495079.3488,5458717.612
Break and Enter Commercial,2020,7,7,4,21,18XX GREER AVE,Kitsilano,489274.0107,5457869.105
Break and Enter Commercial,2020,3,25,2,0,18XX GREER AVE,Kitsilano,489341.2389,5457871.449
Break and Enter Commercial,2020,10,9,12,46,18XX MORTON AVE,West End,489679.2563,5459482.271
Break and Enter Commercial,2020,8,13,7,0,18XX NAPIER ST,Grandview-Woodland,495137.3144,5458007.865
Break and Enter Commercial,2020,4,15,5,20,18XX PANDORA ST,Grandview-Woodland,495081.2213,5458920.636
Break and Enter Commercial,2020,6,8,4,0,18XX POWELL ST,Grandview-Woodland,495044.9928,5459062.507
Break and Enter Commercial,2020,6,29,23,38,18XX POWELL ST,Grandview-Woodland,495190.167,5459111.621
Break and Enter Commercial,2020,4,7,3,1,18XX QUEBEC ST,Mount Pleasant,492531.6106,5457360.593
