TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,4,7,8,48,10XX MARINASIDE CRES,Central Business District,491400.994,5457872.422
Break and Enter Commercial,2020,10,6,16,40,10XX MARINASIDE CRES,Central Business District,491477.7038,5457857.499
Break and Enter Commercial,2020,9,18,12,30,10XX MARINASIDE CRES,Central Business District,491543.9092,5457836.086
Break and Enter Commercial,2020,4,5,21,0,10XX MARINASIDE CRES,Central Business District,491613.9262,5457845.885
Break and Enter Commercial,2020,7,1,23,41,10XX NELSON ST,West End,490787.3166,5458775.129
Break and Enter Commercial,2020,7,28,23,45,10XX NELSON ST,West End,490787.3166,5458775.129
Break and Enter Commercial,2020,9,18,6,15,10XX PACIFIC ST,West End,490246.7971,5458367.41
Break and Enter Commercial,2020,8,11,3,0,10XX PACIFIC ST,West End,490284.2663,5458343.17
Break and Enter Commercial,2020,7,19,0,0,10XX PARK DR,Marpole,490509.4185,5451309.027
Break and Enter Commercial,2020,8,19,4,0,10XX PARK DR,Marpole,490509.4185,5451309.027
Break and Enter Commercial,2020,4,7,1,30,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.231
Break and Enter Commercial,2020,4,9,5,45,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2020,4,26,5,0,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2020,8,1,5,30,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2020,6,22,2,34,10XX ROBSON ST,West End,490942.3287,5459086.387
Break and Enter Commercial,2020,10,19,19,0,10XX ROBSON ST,West End,490948.0239,5459080.759
Break and Enter Commercial,2020,3,17,2,0,10XX ROBSON ST,West End,491014.605,5459002.108
Break and Enter Commercial,2020,10,16,3,30,10XX ROBSON ST,West End,491036.3006,5458993.524
Break and Enter Commercial,2020,5,9,4,46,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2020,7,5,22,0,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2020,4,3,7,0,10XX SEYMOUR ST,Central Business District,491103.7797,5458405.722
Break and Enter Commercial,2020,8,4,5,8,10XX SEYMOUR ST,Central Business District,491112.3583,5458414.444
Break and Enter Commercial,2020,6,1,9,30,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2020,8,13,16,30,10XX VENABLES ST,Strathcona,493994.0782,5458238.434
Break and Enter Commercial,2020,8,20,10,1,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2020,10,2,23,0,10XX W 10TH AVE,Fairview,490763.9406,5456643.593
Break and Enter Commercial,2020,10,16,11,30,10XX W 12TH AVE,Fairview,490648.0588,5456427.62
Break and Enter Commercial,2020,9,30,7,40,10XX W 13TH AVE,Fairview,490731.6196,5456332.382
Break and Enter Commercial,2020,3,19,22,0,10XX W 7TH AVE,Fairview,490672.055,5456938.927
Break and Enter Commercial,2020,4,30,17,15,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.81
Break and Enter Commercial,2020,4,30,17,45,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.81
Break and Enter Commercial,2020,4,30,18,7,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.81
Break and Enter Commercial,2020,10,18,18,0,10XX W BROADWAY AVE,Fairview,490721.7869,5456752.077
Break and Enter Commercial,2020,4,15,7,1,10XX W BROADWAY AVE,Fairview,490779.127,5456750.609
Break and Enter Commercial,2020,4,17,18,54,10XX W GEORGIA ST,Central Business District,491115.752,5459163.178
Break and Enter Commercial,2020,6,10,5,40,10XX W GEORGIA ST,Central Business District,491115.752,5459163.178
Break and Enter Commercial,2020,9,12,5,0,10XX W HASTINGS ST,Central Business District,491360.4863,5459439.561
Break and Enter Commercial,2020,6,28,20,11,10XX W PENDER ST,Central Business District,491263.9592,5459407.591
Break and Enter Commercial,2020,7,17,19,0,10XX W WATERFRONT RD,Central Business District,491433.832,5459568.858
Break and Enter Commercial,2020,4,19,1,39,10XX W WATERFRONT RD,Central Business District,491440.0383,5459565.768
Break and Enter Commercial,2020,6,18,8,40,11XX ALBERNI ST,West End,490894.9534,5459283.887
Break and Enter Commercial,2020,3,13,10,38,11XX ALBERNI ST,West End,490951.0549,5459229.546
Break and Enter Commercial,2020,3,17,7,10,11XX ALBERNI ST,West End,490951.0549,5459229.546
Break and Enter Commercial,2020,4,2,3,32,11XX BARCLAY ST,West End,490656.3788,5459054.725
Break and Enter Commercial,2020,3,17,18,0,11XX BIDWELL ST,West End,489821.5559,5459300.2
Break and Enter Commercial,2020,6,23,21,0,11XX BROUGHTON ST,West End,490149.4839,5459059.911
Break and Enter Commercial,2020,9,27,21,0,11XX BURNABY ST,West End,490317.8309,5458622.134
Break and Enter Commercial,2020,4,5,21,11,11XX BUTE ST,West End,490346.8568,5458842.259
Break and Enter Commercial,2020,10,16,1,4,11XX BUTE ST,West End,490346.8568,5458842.259
Break and Enter Commercial,2020,9,4,6,44,11XX DAVIE ST,West End,490317.6853,5458769.018
Break and Enter Commercial,2020,7,17,9,54,11XX DAVIE ST,West End,490342.9686,5458743.222
Break and Enter Commercial,2020,8,15,8,0,11XX DAVIE ST,West End,490431.3656,5458653.037
Break and Enter Commercial,2020,8,11,4,43,11XX DAVIE ST,West End,490449.3018,5458647.801
Break and Enter Commercial,2020,3,14,0,0,11XX DENMAN ST,West End,489714.979,5459422.613
Break and Enter Commercial,2020,6,21,1,27,11XX DENMAN ST,West End,489714.979,5459422.613
Break and Enter Commercial,2020,10,15,4,54,11XX E HASTINGS ST,Strathcona,494132.2128,5458699.091
Break and Enter Commercial,2020,6,30,16,20,11XX E KENT AVE S,Sunset,493938.2067,5450640.475
Break and Enter Commercial,2020,3,21,22,15,11XX FRANKLIN ST,Strathcona,494139.1409,5458847
Break and Enter Commercial,2020,6,2,5,56,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2020,6,5,2,20,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2020,9,24,0,9,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2020,6,27,0,20,11XX GRANT ST,Strathcona,494207.007,5457637.014
Break and Enter Commercial,2020,8,14,18,0,11XX GRANT ST,Strathcona,494254.5757,5457645.905
Break and Enter Commercial,2020,6,30,1,40,11XX GRANVILLE ST,Central Business District,490885.5183,5458332.208
Break and Enter Commercial,2020,4,9,10,27,11XX GRANVILLE ST,Central Business District,490889.7633,5458336.476
Break and Enter Commercial,2020,4,9,12,57,11XX GRANVILLE ST,Central Business District,490889.7633,5458336.476
